playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot
abeke03,abeke03,,,1961,04,20,Japan,,,,,,,,,Keiji,Abe,,阿部 慶二,,168,68,R,R,1984,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeke04,abeke04,,,1948,12,25,Japan,,,,,,,,,Kenichi,Abe,,阿部 憲一,,163,67,R,R,1971,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abema01,abema01,,,1978,05,12,Japan,,,,,,,,,Masahiro,Abe,,阿部 真宏,,183,71,R,R,2001,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abena01,abena01,,,1947,03,27,Japan,,,,,,,,,Narihiro,Abe,,阿部 成宏,,154,68,L,L,1965,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abena02,abena02,,,1933,12,23,Japan,,,,,,,,,Nagahisa,Abe,,阿部 長久,,157,70,L,L,1952,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeos01,abeos01,,,1962,12,19,Japan,,,,,,,,,Osamu,Abe,,安部 理,,194,72,L,L,1981,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abesh01,abesh01,,,1992,11,03,Japan,,,,,,,,,Shota,Abe,,阿部 翔太,,176,70,L,R,2021,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abesh02,abesh02,abesh02,,1979,03,20,Japan,,,,,,,,,Shinnosuke,Abe,,阿部 慎之助,,214,71,L,R,2001,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abesh03,abesh03,,,1972,07,05,Japan,,,,,,,,,Shigeki,Abe,,阿部 茂樹,,185,71,R,R,1991,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeta01,abeta01,,,1986,09,03,Japan,,,,,,,,,Tateki,Abe,,安部 建輝,,187,70,R,R,2013,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeto01,abeto01,,,1989,12,03,Japan,,,,,,,,,Toshiki,Abe,,阿部 寿樹,,187,73,R,R,2016,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeto02,abeto02,,,1989,06,24,Japan,,,,,,,,,Tomohiro,Abe,,安部 友裕,,194,71,L,R,2008,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeto03,abeto03,,,1988,12,23,Japan,,,,,,,,,Toshihito,Abe,,阿部 俊人,,161,71,L,R,2011,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeyo01,abeyo01,,,1946,05,15,Japan,,,,,,,,,Yoshio,Abe,,阿部 良男,,168,69,R,R,1969,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abeyu01,abeyu01,,,1942,12,04,Japan,,,,,,,,,Yuko,Abe,,阿部 雄厚,,176,71,L,L,1961,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abreuab01,abreuab01,,,1989,10,24,Dominican Republic,,,,,,,,,Abner,Abreu,,Ａ．アブレイユ,,187,75,R,R,2013,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abreual01,abreual01,,,1995,09,26,Dominican Republic,,,,,,,,,Albert,Abreu,,Ａ．アブレイユ,,190,74,R,R,2024,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abreumi01,abreumi01,,,1979,01,02,Cuba,,,,,,,,,Michel,Abreu,,Ｍ．アブレイユ,,245,74,R,R,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abreuwi01,abreuwi01,,,1977,04,05,Mexico,,,,,,,,,Winston,Abreu,,Ｗ．アブレイユ,,181,74,R,R,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acevest01,acevest01,,,2002,08,02,Japan,,,,,,,,,Stiven,Acevedo,,Ｓ．アセベド,,229,77,R,R,2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achirta01,achirta01,,,1992,11,20,Japan,,,,,,,,,Takuma,Achira,,阿知羅 拓馬,,209,75,R,R,2014,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acostjo01,acostjo01,,,1993,12,23,Dominican Republic,,,,,,,,,Jose,Acosta,,Ｊ．アコスタ,,196,74,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acostma01,acostma01,,,1981,05,01,Panama,,,,,,,,,Manny,Acosta,,Ｍ．アコスタ,,216,76,R,R,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acrema01,acrema01,,,1968,03,16,Japan,,,,,,,,,Mark,Acre,,Ｍ．エーカー,,240,80,R,R,1998,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adachmi01,adachmi01,,,1940,03,10,Japan,,,,,,,,,Mitsuhiro,Adachi,,足立 光宏,,163,68,R,R,1959,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adachry01,adachry01,,,1988,01,07,Japan,,,,,,,,,Ryoichi,Adachi,,安達 了一,,176,70,R,R,2012,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adachto01,adachto01,,,1965,06,21,Japan,,,,,,,,,Toshiya,Adachi,,安達 俊也,,161,70,B,R,1984,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adachwa01,adachwa01,,,1968,01,08,Japan,,,,,,,,,Wataru,Adachi,,足立 亘,,176,72,L,R,1986,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adachyu01,adachyu01,,,1989,09,22,Japan,,,,,,,,,Yuichi,Adachi,,足立 祐一,,183,70,R,R,2016,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adairje01,adairje01,,,1936,12,17,Japan,,,,,,,,,Jerry,Adair,,Ｊ．エイデア,,183,72,R,R,1971,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamdjo01,adamdjo01,,,1982,02,24,United States,,,,,,,,,Joseph,Adam Durbin,,ＪＤダービン,,190,72,R,R,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamesa01,adamesa01,,,1994,09,27,Japan,,,,,,,,,Samuel,Adames,,Ｓ．アダメス,,190,76,R,R,2016,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adamuh01,adamuh01,,,,,,Japan,,,,,,,,,,,,Adamu H.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adducji01,adducji01,,,1959,08,09,United States,,,,,,,,,Jim,Adduci,,Ｊ．アドゥチ,,198,76,L,L,1987,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adolijo01,adolijo01,,,1993,03,02,Cuba,,,,,,,,,Jose,Adolis Garcia,,Ｊ．Ａ．ガルシア,,168,73,R,R,2016,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aduwama01,aduwama01,,,1998,10,02,Japan,,,,,,,,,Makoto,Aduwa,,アドゥワ 誠,,176,77,R,R,2017,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agatama01,agatama01,,,1941,10,16,Japan,,,,,,,,,Masumi,Agata,,県 真澄,,163,69,R,R,1964,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agbaybe01,agbaybe01,,,1971,12,28,United States,,,,,,,,,Benny,Agbayani,,ベニー,,220,72,R,R,2004,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agcaofr01,agcaofr01,,,1939,03,29,Japan,,,,,,,,,Francis,Agcaoili,,Ｆ．アグリー,,187,73,L,R,1962,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agramto01,agramto01,,,1977,01,28,Dominican Republic,,,,,,,,,Tomasu Hijo De La Rosa,Agramonte,,デ ラ ロサ,,196,70,R,R,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aguilch01,aguilch01,,,1979,02,23,United States,,,,,,,,,Chris,Aguila,,Ｃ．アギーラ,,198,71,R,R,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aguilje01,aguilje01,,,1990,06,30,Venezuela,,,,,,,,,Jesus,Aguilar,,Ｊ．アギラー,,276,75,R,R,2024,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aibarry01,aibarry01,,,2004,02,22,Japan,,,,,,,,,Ryunosuke,Aibara,,粟飯原 龍之介,,187,71,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aibayo01,aibayo01,,,1943,12,08,Japan,,,,,,,,,Yoshihiro,Aiba,,相羽 欣厚,,170,68,R,R,1962,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aidate01,aidate01,,,1947,06,05,Japan,,,,,,,,,Teruo,Aida,,会田 照夫,,165,69,R,R,1971,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aidato01,aidato01,,,1937,04,01,Japan,,,,,,,,,Toyohiko,Aida,,会田 豊彦,,152,69,R,R,1960,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aidayu01,aidayu01,,,1984,01,30,Japan,,,,,,,,,Yushi,Aida,,会田 有志,,165,70,R,R,2006,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiei01,aiei01,,,1964,09,29,Japan,,,,,,,,,Eijiro,Ai,,阿井 英二郎,,139,71,R,R,1983,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiharka01,aiharka01,,,1989,10,27,Japan,,,,,,,,,Kazutomo,Aihara,,相原 和友,,159,73,L,L,2014,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiharka02,aiharka02,,,1983,07,24,Japan,,,,,,,,,Katsuyuki,Aihara,,相原 勝幸,,192,75,R,R,2006,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiharma01,aiharma01,,,1919,01,05,Japan,,,,,,,,,Mamoru,Aihara,,相原 守,,134,67,R,R,1950,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiharyu01,aiharyu01,,,2002,06,16,Japan,,,,,,,,,Yuta,Aihara,,相原 雄太,,212,75,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikawhi01,aikawhi01,,,1967,09,11,Japan,,,,,,,,,Hideaki,Aikawa,,相川 英明,,176,71,R,R,1986,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikawry01,aikawry01,,,1977,01,18,Japan,,,,,,,,,Ryota,Aikawa,,相川 良太,,172,72,R,R,1999,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikawry02,aikawry02,,,1976,07,11,Japan,,,,,,,,,Ryoji,Aikawa,,相川 亮二,,190,72,R,R,1995,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikawsu01,aikawsu01,,,1948,02,12,Japan,,,,,,,,,Susumu,Aikawa,,相川 進,,176,72,R,R,1965,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikita01,aikita01,,,1978,05,16,Japan,,,,,,,,,Takashi,Aiki,,相木 崇,,161,72,R,R,2001,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikota01,aikota01,,,1962,08,15,Japan,,,,,,,,,Takeshi,Aiko,,愛甲 猛,,192,71,L,L,1981,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aikyohi01,aikyohi01,,,1976,12,04,Japan,,,,,,,,,Hisashi,Aikyo,,愛敬 尚史,,165,69,R,R,2001,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aimotka01,aimotka01,,,1949,04,22,Japan,,,,,,,,,Kazunori,Aimoto,,相本 和則,,163,69,R,R,1973,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aito01,aito01,,,1935,06,06,Japan,,,,,,,,,Toshiharu,Ai,,阿井 利治,,150,65,R,R,1954,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiuchma01,aiuchma01,,,1994,07,23,Japan,,,,,,,,,Makoto,Aiuchi,,相内 誠,,165,73,R,R,2013,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawha01,aizawha01,,,2004,05,28,Japan,,,,,,,,,Hakuto,Aizawa,,相澤 白虎,,185,70,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawku01,aizawku01,,,1940,01,19,Japan,,,,,,,,,Kuniaki,Aizawa,,相沢 邦昭,,132,67,R,R,1958,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawma01,aizawma01,,,1940,06,21,Japan,,,,,,,,,Masaru,Aizawa,,相沢 勝,,152,69,R,R,1962,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawsu01,aizawsu01,,,1987,06,03,Japan,,,,,,,,,Susumu,Aizawa,,相沢 晋,,154,68,L,R,2014,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawsu02,aizawsu02,,,1930,06,09,Japan,,,,,,,,,Susumu,Aizawa,,相沢 進,,152,68,R,R,1950,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawto01,aizawto01,,,1987,12,14,Japan,,,,,,,,,Toshiaki,Aizawa,,相澤 寿聡,,181,71,L,L,2006,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aizawts01,aizawts01,,,1988,04,13,Japan,,,,,,,,,Tsubasa,Aizawa,,會澤 翼,,209,69,R,R,2007,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akabare01,akabare01,,,2004,04,09,Japan,,,,,,,,,Ren,Akaba,,赤羽 蓮,,194,74,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akadary01,akadary01,,,1988,01,07,Japan,,,,,,,,,Ryuichiro,Akada,,赤田 龍一郎,,176,70,L,R,2010,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akadash01,akadash01,,,1980,09,01,Japan,,,,,,,,,Shogo,Akada,,赤田 将吾,,192,70,B,R,1999,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akagaka01,akagaka01,,,1990,07,31,Japan,,,,,,,,,Katsuki,Akagawa,,赤川 克紀,,192,72,L,L,2009,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akagayu01,akagayu01,,,1999,02,10,Japan,,,,,,,,,Yuto,Akagami,,赤上 優人,,183,70,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akagike01,akagike01,,,1936,09,28,Japan,,,,,,,,,Kenichi,Akagi,,赤木 健一,,157,67,L,L,1959,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akahayo01,akahayo01,,,2000,06,29,Japan,,,,,,,,,Yoshihiro,Akahane,,赤羽 由紘,,183,69,R,R,2021,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akahoda01,akahoda01,,,1987,04,13,Japan,,,,,,,,,Daichi,Akahori,,赤堀 大智,,203,74,R,R,2013,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akahomo01,akahomo01,,,1970,04,07,Japan,,,,,,,,,Motoyuki,Akahori,,赤堀 元之,,183,72,R,R,1989,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akahono01,akahono01,,,1976,04,10,Japan,,,,,,,,,Norihiro,Akahoshi,,赤星 憲広,,146,67,L,R,2001,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akahoyu01,akahoyu01,,,1999,07,02,Japan,,,,,,,,,Yuji,Akahoshi,,赤星 優志,,181,69,R,R,2022,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akaika01,akaika01,,,1937,11,01,Japan,,,,,,,,,Katsutoshi,Akai,,赤井 勝利,,148,68,R,R,1957,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akaikak01,akaikak01,,,1938,05,01,Japan,,,,,,,,,Akitoshi,Akaike,,赤池 彰敏,,163,70,R,R,1958,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akaiki01,akaiki01,,,1944,01,08,Japan,,,,,,,,,Kiyoji,Akai,,赤井 喜代次,,157,70,L,R,1965,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamaic01,akamaic01,,,1955,10,17,Japan,,,,,,,,,Ichiro,Akamatsu,,赤松 一朗,,154,68,R,R,1980,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamake01,akamake01,,,1990,11,14,Japan,,,,,,,,,Ken,Akama,,赤間 謙,,192,71,R,R,2016,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamama01,akamama01,,,1982,09,06,Japan,,,,,,,,,Masato,Akamatsu,,赤松 真人,,154,72,R,R,2005,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamary01,akamary01,,,1932,07,05,Japan,,,,,,,,,Ryo,Akamatsu,,赤松 瞭,,150,70,R,R,1951,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamigi01,akamigi01,,,1988,02,24,Japan,,,,,,,,,Ginji,Akaminai,,銀次,,172,69,L,R,2006,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akamike01,akamike01,,,1958,05,20,Japan,,,,,,,,,Kenyu,Akamine,,赤嶺 賢勇,,150,69,R,R,1977,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akanehy01,akanehy01,,,1916,01,05,Japan,,,,,,,,,Hyutaro,Akaneya,,赤根谷 飛雄太郎,,150,69,L,L,1948,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akasaka01,akasaka01,,,1989,09,04,Japan,,,,,,,,,Kazuyuki,Akasaka,,赤坂 和幸,,183,73,R,R,2008,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akasami01,akasami01,,,1950,05,10,Japan,,,,,,,,,Mitsuaki,Akasaka,,赤坂 光昭,,165,70,R,R,1969,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akashke01,akashke01,,,1986,01,09,Japan,,,,,,,,,Kenji,Akashi,,明石 健志,,146,69,L,R,2004,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akashko01,akashko01,,,1927,03,18,Japan,,,,,,,,,Koichi,Akashi,,明石 晃一,,137,67,R,R,1947,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akatske01,akatske01,,,2001,07,01,Japan,,,,,,,,,Kento,Akatsuka,,赤塚 健利,,260,77,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akibake01,akibake01,,,1946,11,11,Japan,,,,,,,,,Keizo,Akiba,,秋葉 敬三,,157,68,R,R,1969,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akichxx01,akichxx01,,,,,,Japan,,,,,,,,,,,,Akichika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiedju01,akiedju01,,,1923,02,20,Japan,,,,,,,,,Juichiro,Akieda,,秋枝 寿一郎,,132,68,R,R,1946,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akihiyu01,akihiyu01,,,2002,09,17,Japan,,,,,,,,,Yuto,Akihiro,,秋広 優人,,220,79,L,R,2021,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimish01,akimish01,,,1936,05,21,Japan,,,,,,,,,Shinji,Akimitsu,,秋光 新二,,146,69,L,L,1955,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimoha01,akimoha01,,,1946,10,20,Japan,,,,,,,,,Hajime,Akimoto,,秋元 肇,,174,73,R,R,1965,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimoko01,akimoko01,,,1968,01,29,Japan,,,,,,,,,Kosaku,Akimoto,,秋元 宏作,,185,71,R,R,1987,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimota01,akimota01,,,1935,06,14,Japan,,,,,,,,,Tadanori,Akimoto,,飽本 唯徳,,141,66,R,R,1954,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimoyu01,akimoyu01,,,1935,06,30,Japan,,,,,,,,,Yusaku,Akimoto,,秋本 祐作,,154,67,R,R,1956,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akimuno01,akimuno01,,,1966,02,26,Japan,,,,,,,,,Norihiro,Akimura,,秋村 謙宏,,187,70,R,R,1990,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akitahi01,akitahi01,,,1955,04,29,Japan,,,,,,,,,Hideyuki,Akita,,秋田 秀幸,,176,71,R,R,1978,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyako01,akiyako01,akiyako01,,1962,04,06,Japan,,,,,,,,,Koji,Akiyama,,秋山 幸二,Koji,190,73,R,R,1981,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyano01,akiyano01,akiyano01,,1934,02,03,Japan,,,,,,,,,Noboru,Akiyama,,秋山 登,,161,70,R,R,1956,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyase01,akiyase01,,,2003,04,29,Japan,,,,,,,,,Seiun,Akiyama,,秋山 正雲,,176,69,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyash01,akiyash01,,,1988,04,16,Japan,,,,,,,,,Shogo,Akiyama,,秋山 翔吾,,190,72,L,R,2011,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyash02,akiyash02,,,1946,05,05,Japan,,,,,,,,,Shigeo,Akiyama,,秋山 重雄,,161,70,R,R,1969,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyata01,akiyata01,,,1991,04,26,Japan,,,,,,,,,Takumi,Akiyama,,秋山 拓巳,,223,74,L,R,2010,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyata02,akiyata02,,,1935,09,29,Japan,,,,,,,,,Takeshi,Akiyama,,秋山 武司,,150,69,L,L,1953,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akiyory01,akiyory01,,,1989,03,21,Japan,,,,,,,,,Ryo,Akiyoshi,,秋吉 亮,,179,72,R,R,2014,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akuneko01,akuneko01,,,1974,06,22,Japan,,,,,,,,,Kokichi,Akune,,阿久根 鋼吉,,183,70,L,R,1999,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akutata01,akutata01,akutata01,,,,,Japan,,,,,,,,,Takeo,Akuta,,芥田 武夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
